Stream Type,Type,Stream,Site,x,y,rich.E.less.B,rich.EPT,rich.PR,rich.SC,rich.Cling,p5dom
Mining Influenced,Mined Gradient,H1,ROL1,-82.19588,37.013738,3,11,5,7,14,67.8
Mining Influenced,Mined Gradient,H1,ROL2,-82.1948,37.014525,1,11,5,5,13,64.6
Mining Influenced,Mined Gradient,H1,ROL3,-82.193845,37.016155,3,15,7,8,18,61.4
Mining Influenced,Mined Gradient,H1,ROL4,-82.19093,37.01869,1,13,10,5,14,64.3
Mining Influenced,Mined Gradient,H1,ROL5,-82.189213,37.0208,0,12,8,3,14,68.2
Mining Influenced,Mined Gradient,H1,ROL6,-82.190018,37.022866,0,10,5,4,10,69.6
Reference,Reference,R1,EAS1,-82.611028,36.907565,6,24,9,6,21,68.2
Reference,Reference,R1,EAS2,-82.608128,36.909378,6,20,8,7,18,63.4
Reference,Reference,R1,EAS3,-82.6053,36.910378,6,19,6,7,17,70.7
Reference,Reference,R1,EAS4,-82.60307,36.911793,5,20,7,6,17,64.9
Reference,Reference,R1,EAS5,-82.599993,36.913366,5,21,7,7,21,72.6
Reference,Reference,R1,EAS6,-82.596808,36.914468,6,22,4,8,19,71.4
Reference,Reference,R1,EAS7,-82.595265,36.916008,6,20,7,10,21,73
Reference,Reference,R1,EAS8,-82.594741,36.916725,5,20,5,9,20,67.5
Mining Influenced,Mined Non-Gradient,L1,FRY1,-82.218121,37.060796,3,19,6,7,19,71.1
Mining Influenced,Mined Non-Gradient,L1,FRY2,-82.217503,37.0602,1,12,7,7,16,59.7
Mining Influenced,Mined Non-Gradient,L1,FRY3,-82.215871,37.057808,3,18,7,8,20,67.2
Mining Influenced,Mined Non-Gradient,L1,FRY4,-82.214798,37.0555,1,13,7,5,15,70.3
Mining Influenced,Mined Non-Gradient,L1,FRY5,-82.21301,37.053028,2,18,7,8,21,68.9
Mining Influenced,Mined Non-Gradient,L1,FRY6,-82.210655,37.050745,4,21,7,9,23,60.3
Mining Influenced,Mined Non-Gradient,L1,FRY7,-82.206418,37.04842,0,14,6,6,17,67.5
Mining Influenced,Mined Non-Gradient,L1,FRY8,-82.205615,37.046121,2,18,9,6,20,61.6
Reference,Reference,R2,CRO1,-82.218091,37.128971,5,18,10,7,20,65.9
Reference,Reference,R2,CRO2,-82.217875,37.130151,5,18,10,8,20,65.2
Reference,Reference,R2,CRO3,-82.2163776,37.1441155,5,22,10,8,21,65.5
Reference,Reference,R2,CRO4,-82.212858,37.134495,5,22,9,6,22,66.8
Reference,Reference,R2,CRO5,-82.208743,37.134823,6,18,10,6,18,69.6
Reference,Reference,R2,CRO6,-82.205578,37.137793,6,17,11,9,17,63.4
Reference,Reference,R2,CRO7,-82.202456,37.137205,6,19,12,6,17,77.6
Mining Influenced,Mined Gradient,H2,LLW1,-81.644788,37.746993,0,12,7,6,17,62.5
Mining Influenced,Mined Gradient,H2,LLW2,-81.643206,37.742078,1,13,6,6,16,67.2
Mining Influenced,Mined Gradient,H2,LLW3,-81.642085,37.739688,0,12,6,7,18,61.9
Mining Influenced,Mined Gradient,H2,LLW4,-81.642338,37.735613,1,11,5,6,17,52.5
Mining Influenced,Mined Gradient,H2,LLW5,-81.641061,37.733693,0,8,3,3,9,67.5
Mining Influenced,Mined Gradient,H2,LLW6,-81.637815,37.731448,1,10,4,3,12,63.4
Mining Influenced,Mined Gradient,L2,SPC1,-81.91949,37.261405,4,18,5,8,19,65.9
Mining Influenced,Mined Gradient,L2,SPC2,-81.915296,37.262691,4,19,7,8,22,61.6
Mining Influenced,Mined Gradient,L2,SPC3,-81.911476,37.263106,4,20,6,8,21,68.2
Mining Influenced,Mined Gradient,L2,SPC4,-81.906018,37.264196,4,19,5,10,21,59.2
Mining Influenced,Mined Gradient,L2,SPC5,-81.902963,37.266081,3,22,9,6,22,65.2
Mining Influenced,Mined Gradient,L2,SPC7,-81.89548,37.269058,3,18,10,7,23,65.9
Mining Influenced,Mined Gradient,L2,SPC8,-81.894478,37.270041,4,21,8,9,22,71.4
