Stream,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,Hsimpson,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov,avg.slope
CRO (R),11,30,71,24,11.71062806,47.356236,23.70425691,29.52949963,2.394736842,2.061403509,0.031162903,1.04,6,6.2,53,105.4,148,148,3.625,106.2,0.883333333,4.026666666,12.66666666,3,2.333333333,0,1,0,1,42.25333334,2.67
EAS (R),16,21,36,24,24,17.04504505,18.92682927,20.32195927,Inf,Inf,0.040660407,9,14,18.2,38.5,38,52,52,1.871688312,56.2,2.66,7.806,16.33333334,2,2.333333333,1.333333333,6,0.666666667,2,14.86333333,22
FRY (MI),11,14,25,18,12.53858024,15.97222223,18.55921856,18.36419753,19.33333333,20.18181818,0.016029808,6,5.4,8,29,64,38,52,3.663716814,61,1.77,6.793333333,6.333333337,5.333333334,3.333333333,0,3.333333333,0,1,38.63,7.5
LLW (MI),6,15,33,15,5.969714618,29.31711146,15.22277228,13.91287284,6.166666667,6.166666666,0.014511336,5.4,3,11.6,41.4,45,38,63.4,1.982300885,45,0.933333334,4.84,5.33333334,8.333333333,8,8,6.666666667,4,3.333333333,8.2,13.25
ROL (MI),6,14,17,16,7.224958949,23.47619048,19.04761905,18.3508772,8.428571429,11,0.023391401,4,7,8,22.5,51.5,72.93,90,2.339041489,48.5,2.573333334,4.726666667,7.333333333,2.666666666,3.666666666,0,0,0,0,20.65333333,11.5
SPC (MI),7,32,57,17,6.94990821,35.12264785,15.53113553,28.13244048,5.333333334,4.166666667,0.049505629,5.2,5.4,14.6,32,83,102.48,116,2,94.45,2.3,4.38,6.33333334,6.666666667,5.666666667,3.666666667,5.666666667,1.333333333,1,19.50333333,3.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fall,,,,,,,,,,,,,,,,,,,,,,,,,,
